movie_title,release_date,genre,mpaa_rating, total_gross , inflation_adjusted_gross 
The Hand That Rocks the Cradle,1/10/1992,Thriller/Suspense,R," $88,036,683 "," $178,831,137 "
Medicine Man,2/7/1992,Drama,PG-13," $44,948,240 "," $91,304,495 "
Blame it on the Bellboy,3/6/1992,Comedy,PG-13," $2,891,055 "," $5,872,667 "
Noises Off...,3/20/1992,Comedy,PG-13," $2,280,148 "," $4,631,720 "
Straight Talk,4/3/1992,Comedy,PG," $21,202,099 "," $43,068,356 "
Newsies,4/8/1992,,PG," $2,706,352 "," $5,497,481 "
Passed Away,4/24/1992,,PG-13," $4,030,793 "," $8,187,848 "
Encino Man,5/22/1992,Comedy,PG," $40,057,130 "," $81,369,058 "
Sister Act,5/29/1992,Comedy,PG," $139,605,150 "," $283,583,472 "
Honey I Blew Up the Kid,7/17/1992,Comedy,PG," $58,662,452 "," $119,162,518 "
A Stranger Among Us,7/17/1992,Drama,PG-13," $12,282,994 "," $24,950,752 "
3 Ninjas,8/7/1992,Action,PG," $29,028,000 "," $58,965,304 "
A Gun in Betty Lou's Handbag,8/21/1992,,PG-13," $3,591,460 "," $7,295,423 "
Captain Ron,9/18/1992,Comedy,PG-13," $22,518,097 "," $45,741,576 "
Sarafina!,9/18/1992,Drama,PG-13," $7,306,242 "," $14,841,352 "
Innocent Blood,9/25/1992,Horror,R," $4,877,567 "," $9,907,922 "
The Mighty Ducks,10/2/1992,Comedy,PG," $50,752,337 "," $103,120,810 "
1492: Conquest of Paradise,10/9/1992,Adventure,PG-13," $7,099,531 "," $14,421,454 "
Consenting Adults,10/16/1992,Drama,R," $21,591,728 "," $43,859,823 "
Aladdin,11/11/1992,Comedy,G," $217,350,219 "," $441,969,178 "
The Distinguished Gentleman,12/4/1992,Comedy,R," $46,434,570 "," $94,349,900 "
The Muppet Christmas Carol,12/11/1992,Comedy,G," $27,281,507 "," $55,417,615 "
Alive,1/15/1993,Adventure,R," $36,299,670 "," $73,914,543 "
Aspen Extreme,1/22/1993,Romantic Comedy,PG-13," $7,843,388 "," $15,970,955 "
Homeward Bound: The Incredible Journey,2/3/1993,Adventure,G," $41,833,324 "," $85,182,343 "
The Cemetery Club,2/3/1993,Comedy,PG-13," $5,583,621 "," $11,369,541 "
Swing Kids,3/5/1993,Musical,PG-13," $5,632,086 "," $11,468,231 "
A Far Off Place,3/12/1993,Adventure,PG," $12,890,752 "," $26,248,558 "
Born Yesterday,3/26/1993,Romantic Comedy,PG," $17,760,754 "," $36,165,012 "
The Adventures of Huck Finn,4/2/1993,Adventure,PG," $24,103,594 "," $49,080,505 "
Bound by Honor,4/16/1993,,R," $4,496,583 "," $9,156,084 "
Indian Summer,4/23/1993,Comedy,R," $14,717,851 "," $29,968,953 "
Super Mario Bros.,5/28/1993,Action,PG," $20,844,907 "," $42,445,058 "
Guilty as Sin,6/4/1993,Thriller/Suspense,R," $22,622,537 "," $46,064,723 "
Life With Mikey,6/4/1993,Comedy,PG," $12,349,549 "," $25,146,538 "
What's Love Got to Do With It,6/9/1993,Drama,R," $39,100,956 "," $79,618,610 "
Son in Law,7/2/1993,Comedy,PG-13," $25,989,889 "," $52,921,433 "
Hocus Pocus,7/16/1993,Comedy,PG," $39,360,491 "," $80,147,079 "
Another Stakeout,7/23/1993,Comedy,PG-13," $20,107,504 "," $40,943,541 "
My Boyfriend's Back,8/6/1993,,PG-13," $3,218,882 "," $6,554,384 "
Father Hood,8/27/1993,,PG-13," $3,268,203 "," $6,654,819 "
The Joy Luck Club,9/8/1993,Drama,R," $32,790,064 "," $66,768,171 "
Money for Nothing,9/10/1993,Comedy,R," $1,044,824 "," $2,127,496 "
The Program,9/24/1993,Action,R," $23,042,200 "," $46,919,256 "
Cool Runnings,10/1/1993,Comedy,PG," $68,856,263 "," $140,392,731 "
The Nightmare Before Christmas,10/13/1993,Musical,PG," $50,408,318 "," $100,026,637 "
The Three Musketeers,11/12/1993,Adventure,PG," $53,661,805 "," $109,310,377 "
Sister Act 2 Back in the Habit,12/10/1993,Comedy,PG," $57,319,029 "," $116,965,668 "
Tombstone,12/25/1993,Western,R," $56,505,065 "," $115,781,734 "
The Air Up There,1/7/1994,Comedy,PG," $20,782,439 "," $42,940,186 "
Cabin Boy,1/7/1994,Comedy,PG-13," $3,469,493 "," $7,168,577 "
Iron Will,1/14/1994,Drama,PG," $20,623,071 "," $42,610,902 "
Red Rock West,1/28/1994,,R," $2,502,551 "," $5,170,709 "
Blank Check,2/11/1994,Comedy,PG," $30,573,770 "," $63,170,804 "
Angie,3/4/1994,Comedy,R," $9,252,349 "," $19,116,981 "
The Ref,3/9/1994,Comedy,R," $11,325,885 "," $23,401,275 "
D2: The Mighty Ducks,3/25/1994,Comedy,PG," $45,604,206 "," $94,226,333 "
Holy Matrimony,4/8/1994,Comedy,," $713,234 "," $1,473,665 "
White Fang 2: Myth of the White Wolf,4/15/1994,Adventure,PG," $8,752,399 "," $18,083,994 "
The Inkwell,4/22/1994,Comedy,R," $8,864,699 "," $18,316,030 "
When a Man Loves a Woman,4/29/1994,Drama,R," $50,021,959 "," $103,354,194 "
3 Ninjas Kick Back,5/6/1994,Action,PG," $11,744,960 "," $24,267,154 "
Renaissance Man,6/3/1994,Comedy,PG-13," $24,172,899 "," $49,945,474 "
The Lion King,6/15/1994,Adventure,G," $422,780,140 "," $761,640,898 "
I Love Trouble,6/29/1994,Romantic Comedy,PG," $30,806,194 "," $63,651,027 "
Angels in the Outfield,7/15/1994,Comedy,PG," $50,236,831 "," $103,798,152 "
In the Army Now,8/12/1994,Comedy,PG," $28,881,266 "," $59,673,787 "
Color of Night,8/19/1994,Thriller/Suspense,R," $19,750,470 "," $40,804,816 "
Camp Nowhere,8/26/1994,Comedy,PG," $10,442,641 "," $21,576,332 "
It's Pat,8/26/1994,Comedy,," $60,822 "," $125,666 "
A Simple Twist of Fate,9/2/1994,Drama,PG-13," $3,404,935 "," $7,035,189 "
Quiz Show,9/14/1994,Drama,PG-13," $24,787,282 "," $50,840,394 "
Terminal Velocity,9/23/1994,Action,PG-13," $16,478,900 "," $34,048,315 "
Ed Wood,9/30/1994,Comedy,R," $5,828,466 "," $12,042,634 "
The Puppet Masters,10/21/1994,Horror,R," $8,579,626 "," $17,727,017 "
Squanto: A Warrior's Tale,10/28/1994,Drama,PG," $3,319,344 "," $6,858,345 "
The Santa Clause,11/11/1994,Comedy,PG," $144,833,357 "," $298,369,717 "
A Low Down Dirty Shame,11/23/1994,Action,R," $29,317,886 "," $60,321,919 "
The Jungle Book,12/25/1994,Adventure,PG," $44,342,956 "," $88,930,321 "
Houseguest,1/6/1995,Comedy,PG," $26,325,256 "," $51,016,522 "
Bad Company,1/20/1995,Thriller/Suspense,R," $3,523,909 "," $6,829,092 "
Miami Rhapsody,1/27/1995,Romantic Comedy,PG-13," $5,086,578 "," $9,857,435 "
The Jerky Boys,2/3/1995,Comedy,R," $7,555,256 "," $14,641,561 "
Heavy Weights,2/17/1995,Comedy,PG," $17,671,310 "," $34,245,779 "
Man of the House,3/3/1995,Comedy,PG," $40,029,009 "," $77,573,459 "
Roommates,3/3/1995,Comedy,PG," $12,076,989 "," $23,404,369 "
Tall Tale,3/24/1995,Western,PG," $8,247,627 "," $15,983,331 "
A Pyromaniac's Love Story,3/28/1995,Romantic Comedy,PG," $468,240 "," $907,414 "
Jefferson in Paris,3/31/1995,Drama,PG-13," $2,461,628 "," $4,770,461 "
Funny Bones,3/31/1995,Comedy,R," $529,135 "," $1,025,425 "
A Goofy Movie,4/7/1995,Comedy,G," $35,336,439 "," $68,479,579 "
While You Were Sleeping,4/21/1995,Romantic Comedy,PG," $81,057,016 "," $157,082,900 "
Crimson Tide,5/12/1995,Action,R," $91,387,195 "," $177,102,077 "
Mad Love,5/26/1995,Drama,PG-13," $15,446,532 "," $29,934,306 "
Pocahontas,6/10/1995,Adventure,G," $141,579,773 "," $274,370,957 "
Judge Dredd,6/30/1995,Action,R," $34,687,912 "," $67,222,776 "
Operation Dumbo Drop,7/28/1995,Adventure,PG," $24,670,346 "," $47,809,421 "
Dangerous Minds,8/11/1995,Drama,R," $84,919,401 "," $164,552,293 "
A Kid in King Arthur's Court,8/11/1995,Adventure,PG," $13,406,717 "," $25,981,285 "
The Tie That Binds,9/8/1995,Thriller/Suspense,R," $5,762,795 "," $11,167,895 "
Unstrung Heroes,9/15/1995,Drama,PG," $7,929,000 "," $15,365,850 "
The Big Green,9/29/1995,Comedy,PG," $17,736,619 "," $34,372,339 "
Dead Presidents,10/4/1995,Drama,R," $24,120,194 "," $46,741,467 "
The Scarlet Letter,10/13/1995,Drama,R," $10,359,006 "," $20,075,033 "
Feast of July,10/13/1995,Drama,R," $293,274 "," $568,342 "
Powder,10/27/1995,Drama,PG-13," $30,833,914 "," $59,727,216 "
Toy Story,11/22/1995,Adventure,G," $191,796,233 "," $370,409,631 "
Father of the Bride Part II,12/8/1995,Comedy,PG," $76,578,911 "," $147,658,438 "
Nixon,12/20/1995,Drama,R," $13,668,249 "," $26,302,005 "
Tom and Huck,12/22/1995,Adventure,PG," $23,837,227 "," $45,911,517 "
Mr. Holland's Opus,12/29/1995,Drama,PG," $82,582,604 "," $157,508,868 "
White Squall,2/2/1996,Adventure,PG-13," $10,229,300 "," $19,509,726 "
Muppet Treasure Island,2/16/1996,Adventure,G," $34,327,391 "," $65,470,567 "
Mr. Wrong,2/16/1996,Romantic Comedy,PG-13," $12,805,071 "," $24,422,334 "
Before and After,2/23/1996,Drama,PG-13," $8,642,118 "," $16,482,589 "
Up Close & Personal,3/1/1996,Drama,PG-13," $51,045,801 "," $97,356,578 "
Homeward Bound II: Lost in San Franc…,3/8/1996,Adventure,G," $32,709,423 "," $62,384,706 "
Two Much,3/15/1996,Romantic Comedy,PG-13," $1,078,555 "," $2,057,055 "
Un indien dans la ville,3/22/1996,Comedy,PG," $1,029,731 "," $1,963,937 "
James and the Giant Peach,4/12/1996,Adventure,PG," $28,921,264 "," $55,159,783 "
Celtic Pride,4/19/1996,Comedy,PG-13," $9,240,378 "," $17,623,615 "
Last Dance,5/3/1996,Drama,R," $5,857,534 "," $11,171,714 "
Boys,5/10/1996,Drama,PG-13," $21,930,418 "," $41,826,566 "
Spy Hard,5/24/1996,Comedy,PG-13," $26,936,265 "," $51,373,912 "
Eddie,5/31/1996,Comedy,PG-13," $31,369,401 "," $59,828,966 "
The Rock,6/7/1996,Action,R," $134,069,511 "," $255,702,705 "
The Hunchback of Notre Dame,6/21/1996,Adventure,G," $100,138,851 "," $190,988,799 "
Phenomenon,7/5/1996,Drama,PG," $104,636,382 "," $199,559,799 "
Kazaam,7/17/1996,Comedy,PG," $18,880,508 "," $36,009,655 "
Jack,8/9/1996,Drama,PG-13," $58,617,334 "," $111,792,852 "
First Kid,8/30/1996,Comedy,PG," $26,465,920 "," $50,465,108 "
The Rich Man's Wife,9/13/1996,Thriller/Suspense,R," $8,538,318 "," $16,284,619 "
D3: The Mighty Ducks,10/4/1996,Comedy,PG," $22,936,273 "," $43,713,554 "
The Associate,10/25/1996,Comedy,PG-13," $12,772,657 "," $24,333,094 "
Ransom,11/8/1996,Action,R," $136,492,681 "," $259,807,820 "
The War at Home,11/20/1996,,R," $34,368 "," $65,543 "
101 Dalmatians,11/27/1996,Comedy,G," $136,189,294 "," $258,728,898 "
The Preacher's Wife,12/13/1996,Drama,PG," $48,102,795 "," $91,076,877 "
Evita,12/25/1996,Musical,PG," $50,047,179 "," $92,077,628 "
Metro,1/17/1997,Action,R," $32,017,895 "," $58,804,106 "
Prefontaine,1/24/1997,Drama,PG-13," $590,817 "," $1,085,093 "
Shadow Conspiracy,1/31/1997,Thriller/Suspense,R," $2,154,540 "," $3,957,025 "
That Darn Cat,2/14/1997,Comedy,PG," $18,301,828 "," $33,613,158 "
Jungle 2 Jungle,3/7/1997,Comedy,PG," $59,925,026 "," $110,058,379 "
The Sixth Man,3/28/1997,Comedy,PG-13," $14,765,099 "," $27,117,599 "
Grosse Pointe Blank,4/11/1997,Black Comedy,R," $28,084,357 "," $51,579,764 "
Romy and Michele's High School Reunion,4/25/1997,Comedy,R," $29,235,353 "," $53,693,680 "
Gone Fishin',5/30/1997,Comedy,PG," $19,745,922 "," $36,265,379 "
Con Air,6/6/1997,Action,R," $101,117,573 "," $185,712,664 "
Hercules,6/13/1997,Adventure,G," $99,112,101 "," $182,029,412 "
George Of The Jungle,7/16/1997,Comedy,PG," $105,263,257 "," $193,326,632 "
Nothing To Lose,7/18/1997,Comedy,R," $44,480,039 "," $81,692,095 "
Air Bud,8/1/1997,Comedy,PG," $24,646,936 "," $45,266,588 "
G.I. Jane,8/22/1997,Drama,R," $48,169,156 "," $88,467,531 "
A Thousand Acres,9/19/1997,Drama,R," $7,928,412 "," $14,561,324 "
Washington Square,10/5/1997,Drama,PG," $1,775,644 "," $3,257,546 "
Rocket Man,10/10/1997,Comedy,PG," $15,448,043 "," $28,371,890 "
Playing God,10/17/1997,Thriller/Suspense,R," $4,166,918 "," $7,652,965 "
Flubber,11/26/1997,Comedy,PG," $92,993,801 "," $170,406,423 "
An American Werewolf in Paris,12/25/1997,Horror,R," $26,570,463 "," $48,546,161 "
Mr. Magoo,12/25/1997,Comedy,PG," $21,437,192 "," $39,145,784 "
Kundun,12/25/1997,Drama,PG-13," $5,686,694 "," $10,236,836 "
Deep Rising,1/30/1998,Action,R," $11,203,026 "," $20,136,775 "
Krippendorf's Tribe,2/27/1998,Comedy,PG-13," $7,571,115 "," $13,608,633 "
An Alan Smithee Film: Burn Hollywood …,2/27/1998,Comedy,R," $45,779 "," $82,277 "
Meet the Deedles,3/27/1998,Comedy,PG," $4,356,126 "," $7,829,877 "
He Got Game,5/1/1998,Drama,R," $21,567,853 "," $38,766,948 "
The Horse Whisperer,5/15/1998,Drama,PG-13," $75,383,563 "," $135,497,531 "
"Six Days, Seven Nights",6/12/1998,Romantic Comedy,PG-13," $74,339,294 "," $133,620,516 "
Mulan,6/19/1998,Adventure,G," $120,620,254 "," $216,807,832 "
Armageddon,7/1/1998,Adventure,PG-13," $201,578,182 "," $362,324,957 "
Jane Austen's Mafia,7/24/1998,Comedy,PG-13," $19,843,795 "," $35,668,055 "
The Parent Trap,7/29/1998,Comedy,PG," $66,308,518 "," $119,185,667 "
Firelight,9/4/1998,Drama,R," $784,419 "," $1,409,943 "
Simon Birch,9/11/1998,Drama,PG," $18,253,415 "," $32,809,442 "
Holy Man,10/9/1998,Comedy,PG," $12,069,719 "," $21,694,605 "
Beloved,10/16/1998,Drama,R," $22,852,487 "," $41,062,682 "
The Waterboy,11/6/1998,Comedy,PG-13," $161,491,646 "," $288,691,833 "
I'll Be Home For Christmas,11/13/1998,Comedy,PG," $12,214,338 "," $21,941,840 "
A Bug's Life,11/20/1998,Adventure,G," $162,798,565 "," $288,981,698 "
Enemy of the State,11/20/1998,Action,R," $111,549,836 "," $198,472,008 "
Rushmore,12/11/1998,Black Comedy,R," $17,105,219 "," $28,392,518 "
A Civil Action,12/25/1998,Drama,PG-13," $56,709,981 "," $94,139,530 "
Mighty Joe Young,12/25/1998,Adventure,PG," $50,632,037 "," $87,906,042 "
My Favorite Martian,2/12/1999,Comedy,PG," $36,850,101 "," $61,150,849 "
The Other Sister,2/26/1999,Romantic Comedy,PG-13," $27,807,627 "," $46,145,331 "
Doug's 1st Movie,3/26/1999,Adventure,G," $19,421,271 "," $32,228,598 "
Ten Things I Hate About You,3/31/1999,Romantic Comedy,PG-13," $38,177,966 "," $63,354,375 "
Endurance,5/14/1999,,PG," $229,128 "," $380,218 "
Instinct,6/4/1999,Drama,R," $34,105,207 "," $56,595,842 "
Tarzan,6/16/1999,Adventure,G," $171,091,819 "," $283,900,254 "
Summer of Sam,7/2/1999,Drama,R," $19,288,130 "," $32,007,656 "
Inspector Gadget,7/23/1999,Comedy,PG," $97,387,965 "," $161,610,341 "
The Sixth Sense,8/6/1999,Thriller/Suspense,PG-13," $293,506,292 "," $485,424,724 "
The 13th Warrior,8/27/1999,Action,R," $32,698,899 "," $54,262,148 "
Breakfast of Champions,9/17/1999,Comedy,R," $178,287 "," $295,851 "
Mumford,9/24/1999,Comedy,R," $4,559,569 "," $7,566,363 "
"Mystery, Alaska",10/1/1999,Comedy,R," $8,891,623 "," $14,755,189 "
The Straight Story,10/15/1999,Drama,G," $6,197,866 "," $10,111,144 "
The Insider,11/5/1999,Drama,R," $28,965,197 "," $47,794,214 "
Toy Story 2,11/19/1999,Adventure,G," $245,852,179 "," $404,450,426 "
Cradle Will Rock,12/8/1999,Drama,R," $2,899,970 "," $4,609,153 "
Deuce Bigalow: Male Gigolo,12/10/1999,Comedy,R," $65,535,067 "," $106,921,374 "
Bicentennial Man,12/17/1999,Drama,PG," $58,220,776 "," $94,838,225 "
Play it to the Bone,12/24/1999,Comedy,R," $8,427,204 "," $13,180,524 "
Fantasia 2000 (IMAX),1/1/2000,Musical,G," $60,507,228 "," $94,852,354 "
Gun Shy,2/4/2000,Comedy,R," $1,638,202 "," $2,562,155 "
The Tigger Movie,2/11/2000,Adventure,G," $45,542,421 "," $71,228,678 "
Mission to Mars,3/10/2000,Adventure,PG," $60,874,615 "," $95,208,344 "
High Fidelity,3/31/2000,Comedy,R," $27,277,055 "," $42,661,516 "
Keeping the Faith,4/14/2000,Romantic Comedy,PG-13," $37,036,404 "," $57,925,202 "
Dinosaur,5/19/2000,Adventure,PG," $137,748,063 "," $215,438,985 "
Shanghai Noon,5/26/2000,Western,PG-13," $56,932,305 "," $89,042,541 "
Gone in 60 Seconds,6/9/2000,Action,PG-13," $101,643,008 "," $158,970,411 "
Fantasia 2000 (Theatrical Release),6/16/2000,Musical,G," $9,103,630 "," $14,238,144 "
The Kid,7/7/2000,Comedy,PG," $69,688,384 "," $108,993,148 "
Coyote Ugly,8/4/2000,Drama,PG-13," $60,786,269 "," $95,070,168 "
The Crew,8/25/2000,Comedy,PG-13," $13,019,253 "," $20,362,201 "
Duets,9/15/2000,Drama,R," $4,734,235 "," $7,404,372 "
Remember the Titans,9/29/2000,Drama,PG," $115,654,751 "," $180,742,479 "
Unbreakable,11/22/2000,Thriller/Suspense,PG-13," $94,999,143 "," $148,208,901 "
102 Dalmatians,11/22/2000,Comedy,G," $66,941,559 "," $104,055,039 "
The Emperor's New Groove,12/15/2000,Adventure,G," $89,296,573 "," $136,789,252 "
